Аскокорине мясная
Аурискальпиум обыкновенный
Баттаррея весёлковая
Белый домовый гриб
Боровик коренастый
Боровик несъедобный
Боровик пурпурный
Булгария (гриб)
Бьеркандера опалённая
Вёшенка осенняя
Волоконница острая
Гебелома корневидная
Гебелома углелюбивая
Гигроцибе восковая
Гигроцибе лисичковая
Гигроцибе пёстрая
Гиднеллум пахучий
Гиднеллум Пека
Гименохета красно-бурая
Глеопорус двухцветный
Говорушка бледноокрашенная
Говорушка просвечивающая
Гомфус чешуйчатый
Готиерия сморчковидная
Груздь бахромистый
Груздь золотисто-жёлтый
Груздь пергаментный
Гумария полушаровидная
Дедалеопсис северный
Дрожалка буковая
Дрожалка листоватая
Дубовая губка
Дубовик Келе
Думонтиния
Жёлчный гриб
Звездовик рыжеватый
Звездовик сводчатый
Звездовик тройной
Звездовик четырёхлопастный
Ирпекс молочно-белый
Калосцифа
Калоцера роговидная
Клавария пурпуровая
Коллибия веретеноногая
Коллибия кудрявая
Коллибия пятнистая
Коноцибе молочная
Коноцибе нежная
Кортициум синий
Ксилоболюс панцирный
Ленцитес берёзовый
Лепиота гребенчатая
Лепиота каштановая
Лепиота шероховатая
Ложнодождевик бородавчатый
Ложнодождевик звёздчатый
Ложнодождевик луковичный
Ложнодождевик обыкновенный
Ложнодождевик порховковый
Ложнодождевик пятнистый
Ложный сатанинский гриб
Микростома вытянутая
Миксомфалия
Мириостома
Митрула болотная
Мицена адониса
Мицена игловидная
Мицена колпаковидная
Мицена наклонённая
Мицена шишковая
Млечник Бертиллона
Млечник мокрый
Млечник липкий
Млечник оранжевый
Млечник острейший
Млечник печёночный
Млечник серо-розовый
Млечник смолисто-чёрный
Млечник тёмный
Мухомор Виттадини
Мухомор маслоцветный
Мухомор поганковидный
Мухомор порфировый
Мухомор щетинистый
Навозник белоснежный
Навозник домашний
Навозник ивовый
Навозник мерцающий
Навозник пушистый
Навозник рассеянный
Навозник складчатый
Навозник смолистый
Негниючник колёсовидный
Негниючник листовой
Негниючник тычинковый
Нектрия киноварно-красная
Оксипорус тополёвый
Панеллюс вяжущий
Паутинник аномальный
Паутинник бело-фиолетовый
Паутинник двукольцовый
Паутинник козлиный
Паутинник коричный
Паутинник краснопластинковый
Паутинник намазанный
Паутинник обманчивый
Паутинник полуволосистый
Паутинник пурпурный
Паутинник слизевой
Паутинник слизистый
Паутинник чешуйчатый
Паутинник шафрановый
Перечный гриб
Пецица изменчивая
Пецица коричневая
Пецица пузырчатая
Пизолитус красильный
Пикнопореллус блестящий
Пикнопорус киноварно-красный
Плютей бархатистоножковый
Плютей благородный
Плютей Годе
Плютей клубневой
Плютей мелкошляпочный
Плютей оранжево-морщинистый
Плютей печальный
Плютей Поузара
Плютей Роберта
Плютей Роберта ложный
Плютей Ромелля
Плютей скудный
Плютей Томсона
Плютей чешуйчатый
Плютей шероховатенький
Постия синевато-серая
Псатирелла водолюбивая
Псатирелла изящная
Псатирелла Кандолля
Псатирелла коническая
Псатирелла многоножковая
Псевдоплектания чёрная
Псилоцибе
Рамария красивая
Решёточник колоннообразный
Решёточник красный
Ризина
Риккенелла оранжевая
Рядовка бело-коричневая
Рядовка заострённая
Рядовка мыльная
Рядовка сросшаяся
Скелетокутис бесформенный
Скутеллиния щитовидная
Строфария масляная
Сухлянка двухлетняя
Сыроежка берёзовая
Сыроежка водянистая
Сыроежка жгучеедкая
Сыроежка желчная
Сыроежка кроваво-красная
Сыроежка ломкая
Сыроежка Мэйра
Сыроежка сардониксовая
Тефроцибе вонючая
Траметес горбатый
Траметес жёстковолосистый
Траметес Трога
Трихаптум двоякий
Трихоломопсис красивый
Трутовик берёзовый
Трутовик заборный
Трутовик зимний
Трутовик изменчивый
Трутовик каштановый
Трутовик лакированный
Трутовик ложный
Трутовик лучистый
Трутовик настоящий
Трутовик окаймлённый
Трутовик плоский
Трутовик чешуйчатый
Трутовик чозениевый
Трутовик щетинистоволосый
Тубария отрубистая
Урнула бокальчатая
Феолепиота
Феолус Швейница
Филлотопсис гнездовидный
Флеогена
Хлороцибория сине-зеленоватая
Цистодерма амиантовая
Цистодерма зернистая
Цистодерма пахучая
Чёрнопластинник кроваво-красный
Чешуйчатка ольховая
Чешуйчатка разрушающая
Чешуйчатка углелюбивая
Щелелистник обыкновенный
Эксидия железистая
Энтолома заброшенная
Энтолома лесная
Энтолома подвишенная
Энтолома свинцово-белая
Энтолома шерстистоногая
Энтолома шершавоножковая
Amanita cokeri
Boletopsis nothofagi
Boletus ornatipes
Calostoma japonicum
Calostoma lutescens
Calostoma ravenelii
Chlorogaster
Horakiella
Lactarius atroviridis
Mycena aurantiomarginata
Pisolithus abditus
Pisolithus albus
Pisolithus indicus
Scleroderma hypogaeum
Scleroderma michiganense
Scleroderma septentrionale
Tremellogaster
